"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
0.6958 0.4470 0.6958 0.6957
0.7125 0.4799 0.7125 0.7287
0.7292 0.5128 0.7292 0.7615
0.7458 0.5464 0.7459 0.7951
0.7625 0.5791 0.7626 0.8278
0.7791 0.6136 0.7792 0.8623
0.7958 0.6461 0.7958 0.8948
0.8124 0.6798 0.8125 0.9285
0.8291 0.7127 0.8292 0.9614
0.8458 0.7467 0.8458 0.9955
0.8625 0.7795 0.8626 1.0282
0.8791 0.8131 0.8792 1.0618
0.8959 0.8487 0.8959 1.0974
0.9124 0.8831 0.9125 1.1318
0.9291 0.9192 0.9292 1.1679
0.9458 0.9530 0.9458 1.2017
0.9625 0.9877 0.9625 1.2365
0.9791 1.0229 0.9792 1.2717
0.9958 1.0564 0.9959 1.3051
1.0124 1.0911 1.0125 1.3399
1.0292 1.1258 1.0292 1.3746
1.0458 1.1602 1.0458 1.4090
1.0625 1.1957 1.0625 1.4444
1.0791 1.2301 1.0792 1.4789
1.0958 1.2649 1.0958 1.5137
1.1124 1.3005 1.1125 1.5493
1.1292 1.3356 1.1292 1.5844
1.1458 1.3708 1.1459 1.6195
1.1626 1.4053 1.1626 1.6541
1.1791 1.4396 1.1792 1.6883
1.1958 1.4741 1.1958 1.7229
1.2124 1.5088 1.2125 1.7576
1.2292 1.5442 1.2292 1.7929
1.2458 1.5801 1.2458 1.8289
1.2625 1.6148 1.2626 1.8635
1.2792 1.6493 1.2792 1.8980
1.2958 1.6845 1.2959 1.9332
1.3124 1.7193 1.3125 1.9680
1.3291 1.7539 1.3292 2.0026
1.3458 1.7896 1.3458 2.0384
1.3625 1.8242 1.3625 2.0729
1.3791 1.8592 1.3792 2.1079
1.3958 1.8954 1.3959 2.1441
1.4125 1.9301 1.4125 2.1788
1.4292 1.9669 1.4292 2.2156
1.4458 2.0032 1.4458 2.2519
1.4624 2.0390 1.4625 2.2877
1.4791 2.0759 1.4792 2.3246
1.4958 2.1111 1.4958 2.3598
1.5124 2.1461 1.5124 2.3949
1.5292 2.1837 1.5292 2.4324
1.5458 2.2200 1.5458 2.4687
1.5625 2.2568 1.5626 2.5055
1.5792 2.2940 1.5792 2.5427
1.5958 2.3313 1.5958 2.5801
1.6124 2.3686 1.6125 2.6173
