   
   
   
"Disp (mm)" "Load (kN)" " d (raw)" "f (raw)"
1.0410 0.8377 1.0410 1.1490
1.0243 0.8068 1.0243 1.1181
1.0077 0.7756 1.0077 1.0869
0.9909 0.7438 0.9909 1.0551
0.9743 0.7134 0.9743 1.0248
0.9576 0.6828 0.9576 0.9941
0.9410 0.6524 0.9410 0.9637
0.9243 0.6227 0.9243 0.9341
0.9077 0.5919 0.9077 0.9032
0.8909 0.5634 0.8909 0.8748
0.8743 0.5340 0.8743 0.8453
0.8576 0.5061 0.8576 0.8174
0.8410 0.4779 0.8410 0.7892
0.8243 0.4503 0.8243 0.7616
0.8076 0.4218 0.8076 0.7331
0.7909 0.3969 0.7909 0.7082
0.7743 0.3711 0.7743 0.6824
0.7576 0.3470 0.7576 0.6583
0.7410 0.3246 0.7410 0.6359
0.7243 0.3029 0.7243 0.6143
0.7076 0.2836 0.7076 0.5949
0.6909 0.2656 0.6909 0.5769
0.6743 0.2461 0.6743 0.5574
0.6576 0.2287 0.6576 0.5400
0.6410 0.2103 0.6410 0.5216
0.6243 0.1921 0.6243 0.5034
0.6076 0.1747 0.6076 0.4860
0.5910 0.1567 0.5910 0.4680
0.5743 0.1389 0.5743 0.4502
0.5576 0.1221 0.5576 0.4334
0.5410 0.1047 0.5410 0.4160
0.5243 0.0882 0.5243 0.3995
0.5076 0.0709 0.5076 0.3822
0.4909 0.0549 0.4909 0.3662
0.4743 0.0385 0.4743 0.3498
0.4576 0.0223 0.4576 0.3336
0.4410 0.0091 0.4410 0.3204
0.4243 0.0003 0.4243 0.3116
0.4076 0.0001 0.4076 0.3115
0.3910 0.0006 0.3910 0.3119
0.3743 0.0004 0.3743 0.3117
0.3576 0.0005 0.3576 0.3118
0.3410 0.0008 0.3410 0.3121
0.3243 0.0009 0.3243 0.3123
0.3076 0.0009 0.3076 0.3122
0.2909 0.0001 0.2909 0.3114
0.2743 0.0007 0.2743 0.3120
0.2576 0.0004 0.2576 0.3118
0.2410 0.0004 0.2410 0.3117
0.2243 -0.0008 0.2243 0.3105
0.2076 0.0001 0.2076 0.3115
0.1910 -0.0012 0.1910 0.3101
0.1743 -0.0002 0.1743 0.3111
0.1576 -0.0013 0.1576 0.3101
0.1409 -0.0015 0.1409 0.3098
0.1243 -0.0012 0.1243 0.3101
0.1076 -0.0049 0.1076 0.3064
0.0910 -0.0192 0.0910 0.2921
0.0743 -0.0346 0.0743 0.2768
0.0576 -0.0497 0.0576 0.2616
0.0410 -0.0638 0.0410 0.2475
0.0243 -0.0793 0.0243 0.2320
0.0076 -0.0940 0.0076 0.2173
-0.0090 -0.1099 -0.0090 0.2014
-0.0257 -0.1244 -0.0257 0.1869
-0.0423 -0.1394 -0.0423 0.1720
-0.0590 -0.1538 -0.0590 0.1575
-0.0757 -0.1671 -0.0757 0.1442
-0.0924 -0.1817 -0.0924 0.1296
-0.1090 -0.1951 -0.1090 0.1163
-0.1257 -0.2081 -0.1257 0.1032
-0.1298 -0.2113 -0.1298 0.1000
-0.1299 -0.2114 -0.1299 0.0999
-0.1139 -0.2015 -0.1139 0.1098
-0.0966 -0.1777 -0.0966 0.1336
-0.0799 -0.1544 -0.0799 0.1570
-0.0632 -0.1331 -0.0632 0.1782
-0.0465 -0.1114 -0.0465 0.1999
-0.0298 -0.0894 -0.0298 0.2219
-0.0132 -0.0691 -0.0132 0.2422
0.0034 -0.0490 0.0034 0.2623
0.0202 -0.0303 0.0202 0.2810
0.0368 -0.0130 0.0368 0.2983
0.0535 -0.0037 0.0535 0.3076
0.0702 0.0000 0.0702 0.3113
0.0868 0.0009 0.0868 0.3122
0.1035 0.0010 0.1035 0.3123
0.1201 0.0005 0.1201 0.3118
0.1368 0.0008 0.1368 0.3121
0.1535 0.0013 0.1535 0.3126
0.1702 0.0015 0.1702 0.3128
0.1868 0.0018 0.1868 0.3131
0.2035 0.0016 0.2035 0.3129
0.2202 0.0029 0.2202 0.3143
0.2368 0.0026 0.2368 0.3140
0.2534 0.0025 0.2534 0.3139
0.2701 0.0023 0.2701 0.3137
0.2868 0.0028 0.2868 0.3141
0.3035 0.0026 0.3035 0.3139
0.3202 0.0028 0.3202 0.3141
0.3369 0.0044 0.3369 0.3157
0.3535 0.0162 0.3535 0.3275
0.3702 0.0346 0.3702 0.3460
0.3868 0.0521 0.3868 0.3634
0.4034 0.0702 0.4034 0.3815
0.4201 0.0896 0.4201 0.4009
0.4368 0.1099 0.4368 0.4212
0.4535 0.1282 0.4535 0.4395
0.4702 0.1488 0.4702 0.4602
0.4868 0.1674 0.4868 0.4787
0.5035 0.1876 0.5035 0.4989
0.5202 0.2078 0.5202 0.5191
0.5368 0.2274 0.5368 0.5387
0.5535 0.2487 0.5535 0.5600
0.5702 0.2695 0.5702 0.5808
0.5868 0.2905 0.5868 0.6018
0.6036 0.3117 0.6036 0.6231
0.6202 0.3352 0.6202 0.6465
0.6368 0.3601 0.6368 0.6714
0.6534 0.3871 0.6534 0.6984
0.6701 0.4149 0.6701 0.7262
0.6868 0.4437 0.6868 0.7550
0.7035 0.4756 0.7035 0.7870
0.7202 0.5070 0.7202 0.8184
0.7368 0.5398 0.7368 0.8511
0.7535 0.5717 0.7535 0.8831
0.7702 0.6043 0.7702 0.9157
0.7868 0.6376 0.7868 0.9489
0.8035 0.6702 0.8035 0.9815
0.8201 0.7038 0.8201 1.0152
0.8369 0.7375 0.8369 1.0489
0.8535 0.7720 0.8535 1.0833
0.8702 0.8065 0.8702 1.1178
0.8868 0.8417 0.8868 1.1530
0.9035 0.8760 0.9035 1.1873
0.9201 0.9120 0.9201 1.2233
0.9368 0.9479 0.9368 1.2592
0.9534 0.9824 0.9534 1.2937
0.9702 1.0192 0.9702 1.3305
0.9868 1.0546 0.9868 1.3659
1.0035 1.0911 1.0035 1.4024
1.0202 1.1274 1.0202 1.4387
1.0368 1.1650 1.0368 1.4763
1.0535 1.2033 1.0535 1.5146
1.0702 1.2409 1.0702 1.5522
1.0868 1.2788 1.0868 1.5901
1.1035 1.3188 1.1035 1.6301
1.1202 1.3581 1.1202 1.6694
1.1369 1.3990 1.1369 1.7103
1.1535 1.4405 1.1535 1.7518
1.1702 1.4803 1.1702 1.7916
1.1868 1.5219 1.1868 1.8332
1.2035 1.5630 1.2035 1.8743
1.2201 1.6042 1.2201 1.9155
1.2368 1.6466 1.2368 1.9579
